ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
325,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 8 into mug 4 \n,BBM05,Expt 1 (Pouring),Mug and Pitcher base,Trial 6,Trial 6.xml
326,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 21 into mug 14 \n,BBM05,Expt 1 (Pouring),Mug and Pitcher base,Trial 7,Trial 7.xml
327,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 32 into mug 30 \n,BBM05,Expt 1 (Pouring),Mug and Pitcher base,Trial 8,Trial 8.xml
328,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 13 into mug 26 \n,BBM05,Expt 1 (Pouring),Mug and Pitcher base,Trial 9,Trial 9.xml
329,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 14 into mug 17 \n,BBM05,Expt 1 (Pouring),Mug and Pitcher base,Trial 10,Trial 10.xml
330,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 31 into mug 30 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 1,Trial 1.xml
331,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 1 into mug 16 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 2,Trial 2.xml
332,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 6 into mug 28 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 3,Trial 3.xml
333,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 16 into mug 19 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 4,Trial 4.xml
334,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 12 into mug 11 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 5,Trial 5.xml
335,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 5 into mug 7 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 6,Trial 6.xml
336,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 15 into mug 20 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 7,Trial 7.xml
337,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 5 into mug 18 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 8,Trial 8.xml
338,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 16 into mug 12 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 9,Trial 9.xml
339,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 24 into mug 15 \n,BBM05,Expt 1 (Pouring),Mug and Sugar box,Trial 10,Trial 10.xml
340,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 23 into bowl 10 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 1,Trial 1.xml
341,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 17 into bowl 9 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 2,Trial 2.xml
342,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 2 into bowl 6 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 3,Trial 3.xml
343,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 15 into bowl 31 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 4,Trial 4.xml
344,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 30 into bowl 17 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 5,Trial 5.xml
345,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 8 into bowl 27 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 6,Trial 6.xml
346,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 32 into bowl 5 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 7,Trial 7.xml
347,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 9 into bowl 20 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 8,Trial 8.xml
348,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 24 into bowl 1 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 9,Trial 9.xml
349,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 3 into bowl 12 \n,BBM05,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 10,Trial 10.xml
350,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 20 into bowl 3 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 1,Trial 1.xml
351,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 11 into bowl 31 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 2,Trial 2.xml
352,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 15 into bowl 19 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 3,Trial 3.xml
353,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 30 into bowl 17 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 4,Trial 4.xml
354,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 32 into bowl 29 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 5,Trial 5.xml
355,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 9 into bowl 15 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 6,Trial 6.xml
356,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 27 into bowl 3 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 7,Trial 7.xml
357,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 1 into bowl 26 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 8,Trial 8.xml
358,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 3 into bowl 13 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 9,Trial 9.xml
359,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 22 into bowl 25 \n,BBM05,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 10,Trial 10.xml
360,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 16 into bowl 1 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 1,Trial 1.xml
361,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 8 into bowl 21 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 2,Trial 2.xml
362,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 19 into bowl 24 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 3,Trial 3.xml
363,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handright bowl to pour pudding_box 24 into bowl 4 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 4,Trial 4.xml
364,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 10 into bowl 21 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 5,Trial 5.xml
365,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 31 into bowl 30 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 6,Trial 6.xml
366,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 32 into bowl 27 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 7,Trial 7.xml
367,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 27 into bowl 3 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 8,Trial 8.xml
368,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 28 into bowl 7 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 9,Trial 9.xml
369,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 17 into bowl 25 \n,BBM05,Expt 1 (Pouring),Bowl and Pudding box,Trial 10,Trial 10.xml
370,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 23 into bowl 2 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 1,Trial 1.xml
371,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 13 into bowl 17 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 2,Trial 2.xml
372,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 11 into bowl 29 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 3,Trial 3.xml
373,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 19 into bowl 6 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 4,Trial 4.xml
374,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 10 into bowl 19 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 5,Trial 5.xml
375,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 17 into bowl 23 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 6,Trial 6.xml
376,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 4 into bowl 6 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 7,Trial 7.xml
377,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 12 into bowl 22 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 8,Trial 8.xml
378,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 29 into bowl 18 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 9,Trial 9.xml
379,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 8 into bowl 21 \n,BBM05,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 10,Trial 10.xml
380,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 20 into bowl 22 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 1,Trial 1.xml
381,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 3 into bowl 24 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 2,Trial 2.xml
382,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 28 into bowl 22 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 3,Trial 3.xml
383,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 14 into bowl 2 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 4,Trial 4.xml
384,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 1 into bowl 24 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 5,Trial 5.xml
385,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 21 into bowl 5 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 6,Trial 6.xml
386,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 14 into bowl 18 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 7,Trial 7.xml
387,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 8 into bowl 5 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 8,Trial 8.xml
388,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 7 into bowl 8 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 9,Trial 9.xml
389,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 25 into bowl 14 \n,BBM05,Expt 1 (Pouring),Bowl and Gelatin box,Trial 10,Trial 10.xml
390,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 21 into bowl 9 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 1,Trial 1.xml
391,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 15 into bowl 27 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 2,Trial 2.xml
392,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 26 into bowl 3 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 3,Trial 3.xml
393,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 18 into bowl 8 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 4,Trial 4.xml
394,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 16 into bowl 3 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 5,Trial 5.xml
395,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 10 into bowl 27 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 6,Trial 6.xml
396,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 25 into bowl 20 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 7,Trial 7.xml
397,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 18 into bowl 25 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 8,Trial 8.xml
398,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 28 into bowl 13 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 9,Trial 9.xml
399,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 26 into bowl 21 \n,BBM05,Expt 1 (Pouring),Bowl and Cracker box,Trial 10,Trial 10.xml
400,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 7 into mug 10 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 1,Trial 1.xml
401,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 18 into mug 4 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 2,Trial 2.xml
402,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 22 into mug 13 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 3,Trial 3.xml
403,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 20 into mug 1 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 4,Trial 4.xml
404,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 24 into mug 13 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 5,Trial 5.xml
405,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 8 into mug 29 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 6,Trial 6.xml
406,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 26 into mug 21 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 7,Trial 7.xml
407,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 7 into mug 30 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 8,Trial 8.xml
408,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 3 into mug 15 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 9,Trial 9.xml
409,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 7 into mug 16 \n,BBM06,Expt 1 (Pouring),Mug and Pitcher base,Trial 10,Trial 10.xml
410,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 16 into mug 24 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 1,Trial 1.xml
411,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 25 into mug 14 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 2,Trial 2.xml
412,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 8 into mug 9 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 3,Trial 3.xml
413,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 25 into mug 9 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 4,Trial 4.xml
414,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 15 into mug 6 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 5,Trial 5.xml
415,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 25 into mug 1 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 6,Trial 6.xml
416,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 25 into mug 21 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 7,Trial 7.xml
417,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 26 into mug 13 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 8,Trial 8.xml
418,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 1 into mug 19 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 9,Trial 9.xml
419,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 14 into mug 18 \n,BBM06,Expt 1 (Pouring),Mug and Sugar box,Trial 10,Trial 10.xml
420,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 7 into bowl 6 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 1,Trial 1.xml
421,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 6 into bowl 31 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 2,Trial 2.xml
422,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 23 into bowl 3 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 3,Trial 3.xml
423,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 13 into bowl 25 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 4,Trial 4.xml
424,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 28 into bowl 27 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 5,Trial 5.xml
425,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 11 into bowl 21 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 6,Trial 6.xml
426,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 20 into bowl 8 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 7,Trial 7.xml
427,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 32 into bowl 17 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 8,Trial 8.xml
428,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 25 into bowl 14 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 9,Trial 9.xml
429,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 19 into bowl 29 \n,BBM06,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 10,Trial 10.xml
430,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 30 into bowl 10 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 1,Trial 1.xml
431,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 17 into bowl 32 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 2,Trial 2.xml
432,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 1 into bowl 14 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 3,Trial 3.xml
433,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 31 into bowl 21 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 4,Trial 4.xml
434,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 2 into bowl 20 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 5,Trial 5.xml
435,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 6 into bowl 12 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 6,Trial 6.xml
436,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 13 into bowl 1 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 7,Trial 7.xml
437,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 11 into bowl 16 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 8,Trial 8.xml
438,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 8 into bowl 24 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 9,Trial 9.xml
439,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 9 into bowl 23 \n,BBM06,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 10,Trial 10.xml
440,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 31 into bowl 15 \n,BBM06,Expt 1 (Pouring),Bowl and Pudding box,Trial 1,Trial 1.xml
441,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 2 into bowl 10 \n,BBM06,Expt 1 (Pouring),Bowl and Pudding box,Trial 2,Trial 2.xml
442,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 12 into bowl 29 \n,BBM06,Expt 1 (Pouring),Bowl and Pudding box,Trial 3,Trial 3.xml
